Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
5 SERIES,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low
7 SERIES,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low
I8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High
7 SERIES,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High
5 SERIES,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469,High
I8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High
I3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low
I8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High
I3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High
5 SERIES,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low
3 SERIES,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low
3 SERIES,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low
I3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low
I3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High
7 SERIES,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low
I3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High
7 SERIES,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low
7 SERIES,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High
7 SERIES,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241,Low
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High
I3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low
I8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low
3 SERIES,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low
3 SERIES,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low
5 SERIES,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low
7 SERIES,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High
