Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
5 SERIES,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,8300,High
5 SERIES,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,1232,Low
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High
I8,2019,Europe,White,Electric,Manual,3.0,35700,96257,4411,Low
I8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High
5 SERIES,2017,North America,Silver,Electric,Manual,3.1,57843,111326,4880,Low
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High
7 SERIES,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,7521,High
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,8897,High
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low
I8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low
I3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High
3 SERIES,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,9470,High
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low
7 SERIES,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low
3 SERIES,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low
I8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low
I3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low
I8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low
7 SERIES,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High
I8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High
7 SERIES,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,7462,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low
5 SERIES,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low
I3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low
5 SERIES,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low
I3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low
7 SERIES,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High
3 SERIES,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High
7 SERIES,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High
5 SERIES,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High
3 SERIES,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High
I8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
I3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low
3 SERIES,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High
I3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High
5 SERIES,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High
I8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
3 SERIES,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High
3 SERIES,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low
3 SERIES,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low
7 SERIES,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low
I8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
I8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low
7 SERIES,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low
3 SERIES,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
I8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low
5 SERIES,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High
I3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,8483,High
7 SERIES,2017,North America,White,Hybrid,Manual,1.5,7334,77120,6825,Low
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High
I3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low
5 SERIES,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,8273,High
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High
I8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,5284,Low
I8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,9454,High
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,2353,Low
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,6177,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,4669,Low
I8,2015,Asia,Black,Hybrid,Automatic,2.4,6365,30074,2845,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,4997,Low
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,6856,Low
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,1883,Low
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,113,Low
I3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,8132,High
3 SERIES,2017,Africa,Silver,Diesel,Manual,2.7,124960,115369,5481,Low
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,7436,High
I3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,5415,Low
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,6300,Low
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,3108,Low
I3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,3901,Low
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,9003,High
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,7064,High
7 SERIES,2019,North America,Silver,Hybrid,Automatic,2.5,40052,32230,4515,Low
I8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,9586,High
I8,2016,South America,Red,Hybrid,Manual,2.9,32573,42409,5098,Low
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,5095,Low
7 SERIES,2018,North America,White,Diesel,Manual,4.1,30215,40062,305,Low
X5,2017,Africa,Blue,Hybrid,Manual,2.9,110631,110049,1386,Low
3 SERIES,2015,North America,Blue,Petrol,Automatic,3.1,187396,71905,7571,High
I3,2017,South America,Grey,Petrol,Automatic,4.0,174519,31948,5863,Low
3 SERIES,2017,South America,Silver,Electric,Manual,3.4,144332,102814,5037,Low
X3,2017,Europe,Red,Electric,Manual,3.2,84155,70778,8167,High
X1,2015,Middle East,Silver,Hybrid,Automatic,3.5,117990,58708,3657,Low
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,9121,High
X5,2018,Europe,Silver,Diesel,Manual,2.9,124134,37111,4242,Low
X5,2018,Africa,Black,Electric,Manual,1.6,6634,67794,9284,High
I3,2015,Asia,White,Hybrid,Manual,3.3,95364,91829,7118,High
I3,2018,Africa,White,Hybrid,Automatic,4.2,27979,95982,4366,Low
X5,2017,Europe,Silver,Electric,Automatic,1.9,5204,32190,143,Low
X5,2017,South America,Black,Hybrid,Manual,3.3,42159,85852,5802,Low
X3,2016,Asia,Grey,Petrol,Automatic,3.1,143652,93537,5924,Low
7 SERIES,2015,Europe,Grey,Diesel,Manual,4.6,126540,33593,3220,Low
7 SERIES,2016,Africa,Red,Diesel,Manual,3.8,92316,85617,1909,Low
X3,2015,Asia,Grey,Diesel,Manual,3.5,6304,45543,6657,Low
I8,2015,Middle East,Silver,Electric,Automatic,4.1,86794,39377,9525,High
X1,2015,Africa,Silver,Hybrid,Automatic,3.4,15994,41990,8543,High
3 SERIES,2015,Africa,Red,Electric,Automatic,5.0,69854,58429,8981,High
X3,2017,North America,Silver,Petrol,Manual,3.8,113551,30284,241,Low
I8,2015,Europe,Grey,Electric,Automatic,3.9,137116,71187,3942,Low
5 SERIES,2018,South America,Blue,Diesel,Manual,3.4,96313,48896,398,Low
X3,2017,Europe,Red,Electric,Automatic,3.1,37926,112367,6565,Low
3 SERIES,2016,Africa,Silver,Hybrid,Manual,4.3,45420,55483,9417,High
X5,2018,Africa,Silver,Diesel,Manual,2.0,54511,52655,7876,High
X1,2019,Asia,Black,Electric,Manual,2.9,190036,58531,7317,High
M5,2015,Middle East,Grey,Petrol,Automatic,2.6,166487,112693,5817,Low
5 SERIES,2019,Middle East,Silver,Petrol,Automatic,2.4,121797,100148,7231,High
I3,2017,Europe,Grey,Diesel,Automatic,4.9,40442,67998,7313,High
7 SERIES,2017,North America,Black,Hybrid,Manual,3.3,194029,43238,8514,High
I8,2015,South America,Red,Petrol,Automatic,3.1,182742,80754,5839,Low
X3,2016,South America,Red,Hybrid,Automatic,3.3,26890,60361,1339,Low
3 SERIES,2019,South America,Black,Hybrid,Manual,3.9,42467,102968,2165,Low
X5,2019,Europe,Blue,Hybrid,Manual,2.5,36527,84856,2035,Low
3 SERIES,2017,North America,Red,Electric,Automatic,4.4,3879,49819,9025,High
X5,2018,Europe,Blue,Petrol,Manual,3.5,31445,62226,7616,High
3 SERIES,2015,North America,White,Hybrid,Automatic,4.2,154571,54989,9390,High
5 SERIES,2016,North America,White,Electric,Manual,1.8,28199,54748,3539,Low
X3,2019,Africa,Black,Hybrid,Automatic,2.5,114886,70265,9879,High
X6,2016,Europe,Black,Petrol,Manual,4.7,10561,63605,8533,High
M3,2019,Africa,White,Hybrid,Automatic,3.1,108903,58185,335,Low
7 SERIES,2018,Europe,Silver,Hybrid,Manual,2.9,16841,75628,8340,High
M3,2017,Africa,Silver,Hybrid,Manual,4.8,183782,100693,6324,Low
I8,2019,North America,White,Petrol,Automatic,2.9,122500,96319,9080,High
7 SERIES,2016,Middle East,Silver,Hybrid,Automatic,4.2,179716,78386,1274,Low
7 SERIES,2018,Africa,Red,Electric,Automatic,2.0,176437,77426,2167,Low
X6,2017,Africa,White,Electric,Automatic,4.0,53449,82740,1329,Low
X3,2016,South America,Red,Electric,Automatic,1.9,136356,105711,1100,Low
X5,2016,Africa,Grey,Diesel,Automatic,3.1,13371,105070,4284,Low
X1,2015,Asia,Grey,Diesel,Automatic,2.1,199235,84022,1194,Low
X5,2018,Middle East,Red,Electric,Manual,3.8,50183,75390,8038,High
X5,2019,Middle East,Red,Hybrid,Manual,2.7,148760,93236,2693,Low
I8,2015,Middle East,Grey,Electric,Automatic,3.2,82478,80247,9537,High
I3,2019,Middle East,Grey,Diesel,Manual,3.7,183985,107396,9192,High
X5,2019,Asia,Red,Electric,Automatic,2.0,15812,76124,4646,Low
3 SERIES,2015,North America,Blue,Electric,Automatic,1.7,25425,119970,5377,Low
5 SERIES,2019,Africa,Grey,Diesel,Manual,1.8,194310,42650,1268,Low
X1,2015,North America,Silver,Diesel,Manual,4.3,90089,103531,4441,Low
3 SERIES,2015,Europe,Silver,Electric,Automatic,1.7,110901,83776,3673,Low
X6,2017,North America,Silver,Hybrid,Manual,2.9,117113,74150,4425,Low
I3,2016,Europe,Silver,Hybrid,Manual,4.6,33244,116918,2095,Low
M3,2015,Africa,Black,Hybrid,Automatic,4.9,179971,59889,8335,High
M3,2016,South America,White,Diesel,Automatic,4.2,158898,86673,9443,High
